,any_matriculacio_assig,id_alumne,id_enseny,id_assig,nota
0,2011,1,G1042,360134,0.0
1,2011,1,G1042,360135,0.0
2,2011,1,G1042,360136,0.0
3,2011,1,G1042,360137,0.0
4,2011,1,G1042,360138,0.0
5,2011,1,G1042,360139,0.0
6,2011,1,G1042,360140,0.0
7,2011,1,G1042,360141,0.0
8,2011,1,G1042,360142,0.0
9,2011,1,G1042,360143,0.0
10,2012,2,G1042,360134,0.0
11,2012,2,G1042,360135,0.0
12,2012,2,G1042,360138,0.0
13,2012,2,G1042,360139,0.0
14,2012,2,G1042,360142,0.0
15,2010,3,G1042,360136,7.5
16,2010,3,G1042,360137,8.9
17,2010,3,G1042,360142,7.0
18,2010,3,G1042,360143,0.0
19,2011,3,G1042,360139,0.0
20,2011,3,G1042,360134,0.0
21,2011,3,G1042,360138,8.0
22,2011,3,G1042,360140,7.0
23,2011,3,G1042,360141,0.0
24,2011,3,G1042,360143,0.0
25,2011,3,G1042,360135,0.0
28,2010,4,G1077,364299,0.0
29,2010,4,G1077,364293,0.0
30,2010,4,G1077,364288,0.0
31,2010,4,G1077,364301,0.0
32,2010,4,G1077,364290,0.0
33,2010,4,G1077,364298,1.3
34,2011,4,G1077,364288,0.0
35,2011,4,G1077,364290,0.0
36,2011,4,G1077,364293,0.0
37,2011,4,G1077,364298,1.7
38,2011,4,G1077,364299,0.0
39,2011,5,G1042,360143,5.5
40,2011,5,G1042,360140,4.5
41,2011,5,G1042,360142,6.0
42,2011,5,G1042,360141,6.2
43,2011,5,G1042,360136,3.8
44,2011,5,G1042,360137,6.3
45,2012,5,G1042,360140,9.2
46,2012,5,G1042,360134,7.0
47,2012,5,G1042,360135,5.9
48,2012,5,G1042,360136,6.4
49,2012,5,G1042,360139,6.6
50,2012,5,G1042,360138,8.2
51,2013,5,G1042,360144,4.3
52,2013,5,G1042,360145,4.5
53,2013,5,G1042,360146,5.7
54,2013,5,G1042,360148,0.0
55,2013,5,G1042,360151,0.0
56,2013,5,G1042,360153,6.6
59,2011,6,G1042,360134,0.0
60,2011,6,G1042,360135,0.0
61,2011,6,G1042,360136,0.0
62,2011,6,G1042,360137,4.2
63,2011,6,G1042,360138,6.4
64,2011,6,G1042,360139,0.0
65,2011,6,G1042,360140,7.0
66,2011,6,G1042,360141,7.2
67,2011,6,G1042,360142,7.0
68,2011,6,G1042,360143,0.5
69,2012,6,G1042,360161,7.0
70,2012,6,G1042,360150,8.0
71,2012,6,G1042,360146,2.0
72,2012,6,G1042,360155,0.0
73,2012,6,G1042,360134,0.0
74,2012,6,G1042,360135,2.1
75,2012,6,G1042,360137,5.5
76,2012,6,G1042,360139,4.2
77,2012,6,G1042,360144,0.0
78,2012,6,G1042,360145,0.0
79,2012,7,G1042,360134,7.5
80,2012,7,G1042,360135,5.6
81,2012,7,G1042,360138,8.6
82,2012,7,G1042,360139,6.9
83,2012,7,G1042,360142,7.3
84,2013,7,G1042,360141,8.8
85,2013,7,G1042,360136,5.9
86,2013,7,G1042,360140,7.6
87,2013,7,G1042,360143,6.4
88,2013,7,G1042,360137,9.0
89,2010,8,G1077,364299,0.0
90,2010,8,G1077,364290,0.0
91,2010,8,G1077,364298,2.2
92,2010,8,G1077,364294,0.0
93,2010,8,G1077,364301,0.0
94,2010,8,G1077,364291,0.0
95,2010,8,G1077,364292,0.0
96,2010,8,G1077,364293,0.0
97,2010,8,G1077,364289,0.8
98,2010,8,G1077,364288,0.0
99,2012,8,G1077,364298,2.4
100,2012,8,G1077,364288,8.2
101,2012,8,G1077,364294,0.0
102,2012,8,G1077,364299,0.0
103,2012,8,G1077,364292,0.0
104,2013,8,G1077,364291,0.0
105,2013,8,G1077,364298,0.0
106,2013,8,G1077,364299,0.0
113,2010,9,G1077,364291,7.0
114,2010,9,G1077,364288,7.0
115,2010,9,G1077,364298,8.0
116,2010,9,G1077,364301,7.1
117,2010,9,G1077,364290,5.7
118,2010,9,G1077,364299,8.6
119,2011,9,G1077,364293,7.3
120,2011,9,G1077,364294,6.2
121,2011,9,G1077,364295,6.6
122,2011,9,G1077,364300,0.0
123,2012,9,G1077,364289,10.0
124,2012,9,G1077,364292,8.8
